model_key,model,family,size,is_edge,architecture,architecture_display,n_items,completude_mean,completude_ci_low,completude_ci_high,fidelidade_mean,fidelidade_ci_low,fidelidade_ci_high,rastreabilidade_mean,rastreabilidade_ci_low,rastreabilidade_ci_high,quality_mean,quality_ci_low,quality_ci_high,quality_S,quality_NS,quality_H,routing_accuracy,routing_ci_low,routing_ci_high,agent_match_rate,agent_ci_low,agent_ci_high,sql_match_rate,sql_ci_low,sql_ci_high,retrieval_precision_mean,retrieval_precision_ci_low,retrieval_precision_ci_high,retrieval_recall_mean,retrieval_recall_ci_low,retrieval_recall_ci_high,latency_mean,latency_ci_low,latency_ci_high,latency_median,input_tokens_mean,output_tokens_mean,total_tokens_mean
qwen-122b,Qwen 3.5 122B-A10B,qwen,medium,False,no-verifier,Sem Verificação,30,1.422222222222222,1.222222222222222,1.611111111111111,1.5777777777777773,1.4555555555555557,1.7,1.9,1.7888888888888888,1.9777777777777779,1.6333333333333333,1.5296296296296295,1.7296296296296296,1.5666666666666667,1.7666666666666668,1.5666666666666669,0.9666666666666667,0.9,1.0,1.0,1.0,1.0,0.7,0.5,0.9,0.7,0.525,0.85,0.85,0.7,1.0,23.053333333333338,19.803333333333335,26.548041666666663,19.94,15147.833333333334,2282.9333333333334,17430.766666666666
qwen-122b,Qwen 3.5 122B-A10B,qwen,medium,False,poc,Simples,30,1.1777777777777776,0.9555555555555556,1.3888888888888886,1.7666666666666664,1.6555555555555552,1.8666666666666667,1.611111111111111,1.4555555555555553,1.744444444444444,1.5185185185185186,1.4185185185185183,1.611111111111111,1.5333333333333332,1.5111111111111113,1.511111111111111,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.4,0.8,0.725,0.55,0.875,0.8,0.625,0.95,19.070999999999994,16.632591666666666,21.682024999999996,16.615000000000002,12387.666666666666,1835.8666666666666,14223.533333333333
qwen-397b,Qwen 3.5 397B-A17B,qwen,large,False,full,Completa,30,1.4333333333333331,1.222222222222222,1.6222222222222222,1.6444444444444446,1.5444444444444443,1.7444444444444442,1.9222222222222223,1.8666666666666667,1.9666666666666666,1.6666666666666665,1.5703703703703702,1.759259259259259,1.6777777777777778,1.7666666666666668,1.5555555555555558,0.9666666666666667,0.9,1.0,1.0,1.0,1.0,0.75,0.55,0.9,0.7165,0.558,0.8501999999999971,0.8664999999999999,0.7165,1.0,168.81866666666662,134.17814166666668,212.47672500000002,140.7,29954.933333333334,8594.333333333334,38549.26666666667
qwen-397b,Qwen 3.5 397B-A17B,qwen,large,False,no-synthesizer,Sem Síntese,30,1.4,1.1777777777777778,1.6111111111111112,1.7555555555555555,1.6555555555555552,1.8555555555555554,1.8444444444444443,1.7111111111111112,1.9333333333333333,1.6666666666666665,1.562962962962963,1.759259259259259,1.6666666666666665,1.6888888888888889,1.6444444444444446,0.9666666666666667,0.9,1.0,1.0,1.0,1.0,0.7,0.5,0.9,0.7085,0.5585,0.85,0.8664999999999999,0.7165,1.0,77.43299999999999,60.754966666666654,96.37869166666664,58.57,12469.733333333334,3460.7,15930.433333333332
qwen-397b,Qwen 3.5 397B-A17B,qwen,large,False,no-verifier,Sem Verificação,30,1.4222222222222218,1.2111111111111112,1.6111111111111112,1.6666666666666667,1.5666666666666664,1.7666666666666666,1.8999999999999997,1.7888888888888888,1.9777777777777779,1.6629629629629628,1.5629629629629627,1.7555555555555553,1.6777777777777778,1.722222222222222,1.588888888888889,1.0,1.0,1.0,1.0,1.0,1.0,0.65,0.45,0.85,0.75,0.6,0.9,0.8664999999999999,0.7165,1.0,52.62800000000001,42.59060833333333,62.45398333333333,53.29,14726.4,2705.233333333333,17431.633333333335
qwen-397b,Qwen 3.5 397B-A17B,qwen,large,False,poc,Simples,30,1.1888888888888889,0.9666666666666667,1.3999999999999997,1.7777777777777777,1.6999999999999997,1.8555555555555554,1.4777777777777772,1.3,1.6222222222222222,1.4814814814814816,1.3888888888888886,1.5629629629629633,1.5333333333333332,1.4777777777777779,1.4333333333333336,1.0,1.0,1.0,1.0,1.0,1.0,0.35,0.15,0.55,0.725,0.55,0.9,0.8,0.6,0.95,42.01833333333333,34.19456666666667,50.50844999999999,33.545,11988.733333333334,2494.7,14483.433333333332
ministral-3b,Ministral 3B,mistral,edge,True,full,Completa,30,1.0777777777777777,0.8555555555555556,1.288888888888889,0.8888888888888891,0.7222222222222221,1.0555555555555556,1.9,1.8444444444444443,1.9555555555555555,1.2888888888888888,1.1703703703703705,1.4074074074074074,1.1888888888888887,1.488888888888889,1.1888888888888887,0.8,0.6333333333333333,0.9333333333333333,1.0,1.0,1.0,0.35,0.15,0.55,0.6015,0.41550000000000004,0.7825,0.775,0.575,0.95,96.27533333333332,38.017825,170.50737499999994,17.94,83070.86666666667,17913.7,100984.56666666667
ministral-3b,Ministral 3B,mistral,edge,True,no-synthesizer,Sem Síntese,30,1.011111111111111,0.7666666666666665,1.2444444444444445,1.211111111111111,1.011111111111111,1.4000000000000001,1.6333333333333333,1.5333333333333334,1.7333333333333332,1.2851851851851852,1.151851851851852,1.4111111111111114,1.3333333333333333,1.4666666666666668,1.0555555555555558,0.7666666666666667,0.6,0.9,1.0,1.0,1.0,0.2,0.05,0.4,0.6435000000000001,0.4615,0.8099999999999999,0.8,0.6,0.95,39.73799999999999,10.230550000000003,76.58759999999995,9.11,33024.333333333336,7090.133333333333,40114.46666666667
ministral-3b,Ministral 3B,mistral,edge,True,no-verifier,Sem Verificação,30,0.9555555555555555,0.7444444444444442,1.1666666666666665,1.0555555555555556,0.8888888888888887,1.222222222222222,1.7999999999999998,1.744444444444444,1.8555555555555554,1.2703703703703704,1.151851851851852,1.3814814814814815,1.1111111111111112,1.4333333333333333,1.2666666666666668,0.8,0.6658333333333407,0.9333333333333333,1.0,1.0,1.0,0.35,0.15,0.55,0.65,0.4585,0.8250124999999997,0.75,0.55,0.95,43.760666666666665,8.860933333333334,88.34667499999998,9.254999999999999,19465.933333333334,10103.066666666668,29569.0
ministral-3b,Ministral 3B,mistral,edge,True,poc,Simples,30,0.7999999999999999,0.5888888888888889,1.0222222222222224,1.2222222222222223,0.9888888888888889,1.4444444444444444,0.9888888888888889,0.7777777777777775,1.1999999999999997,1.0037037037037035,0.8481481481481483,1.151851851851852,0.9888888888888889,1.2333333333333334,0.7888888888888888,0.9333333333333333,0.8333333333333334,1.0,0.9666666666666667,0.9,1.0,0.25,0.1,0.45,0.675,0.475,0.85,0.725,0.525,0.9,16.31066666666667,5.837641666666666,35.32695833333333,6.55,30599.133333333335,2878.9666666666667,33478.1
gemma3-4b,Gemma 3 4B,gemma,edge,True,full,Completa,30,0.34444444444444444,0.18888888888888886,0.5111111111111112,0.9222222222222222,0.6888888888888889,1.1555555555555554,1.6999999999999997,1.5777777777777773,1.811111111111111,0.988888888888889,0.8518518518518519,1.1222222222222225,0.8333333333333333,1.2333333333333334,0.9,0.5333333333333333,0.36666666666666664,0.7,0.9666666666666667,0.9,1.0,0.05,0.0,0.15,0.2415,0.075,0.425,0.3,0.1,0.5,30.759333333333334,25.34698333333333,36.87443333333332,28.509999999999998,83382.26666666666,1744.7666666666667,85127.03333333334
gemma3-4b,Gemma 3 4B,gemma,edge,True,no-synthesizer,Sem Síntese,30,0.36666666666666675,0.18888888888888886,0.5666666666666667,1.155555555555556,0.9333333333333333,1.3666666666666667,1.666666666666667,1.5111111111111113,1.7891666666666628,1.0629629629629629,0.9259259259259259,1.1925925925925926,1.0666666666666667,1.1888888888888889,0.9333333333333332,0.5333333333333333,0.36666666666666664,0.7,0.9666666666666667,0.9,1.0,0.05,0.0,0.15,0.275,0.1,0.475,0.3,0.1,0.5,10.217666666666666,9.125958333333333,11.415008333333333,9.4,41837.666666666664,583.4,42421.066666666666
gemma3-4b,Gemma 3 4B,gemma,edge,True,no-verifier,Sem Verificação,30,0.3222222222222222,0.16666666666666663,0.5111111111111111,1.0333333333333334,0.7777777777777778,1.2888888888888888,1.5999999999999999,1.4111111111111112,1.7555555555555555,0.985185185185185,0.8332407407407415,1.1370370370370368,0.9555555555555555,1.0333333333333332,0.9666666666666666,0.5666666666666667,0.4,0.7333333333333333,0.9666666666666667,0.9,1.0,0.0,0.0,0.0,0.25,0.1,0.45,0.25,0.1,0.45,15.620000000000001,13.632966666666666,17.797525,14.955,42486.46666666667,731.8333333333334,43218.3
